horizon,experiment,n,mae,rmse,median_absolute_error,direction,direction_all_rows,balanced_direction,active_direction,active_fraction,correlation,r2,calibration_slope,bias,mae_skill,mse_skill,price_mae_usd,within_2_usd,always_up_direction
14,direction_logistic,535,0.03135546527626875,0.04135451750833483,0.02410580245336412,0.5570093457943925,0.5570093457943925,0.5151651112706389,0.5570093457943925,1.0,0.05075616570591359,-0.05373362227630851,0.27718534222499175,-0.007934619470462888,0.02155992420188868,0.035242795666409865,118.72481717804874,0.007476635514018692,0.6280373831775701
14,heterogeneous_calibrated,535,0.03209387248063492,0.041828578581612805,0.02599301393492756,0.5813084112149532,0.5813084112149532,0.49045824359894713,0.5813084112149532,1.0,-0.007424299710698341,-0.07803071424316066,-0.027344452020606032,-0.0006757265632027458,-0.001481902626199405,0.012997330566094756,122.22881750344256,0.020560747663551402,0.6280373831775701
30,persistence,529,0.05104355832966751,0.06377847104791046,0.04350598286965224,,0.0,,,0.0,,-0.2177793025451764,,-0.02697106594039982,0.0,0.0,189.5758034026465,0.011342155009451797,0.6918714555765595
30,historical_mean,529,0.04741578782808524,0.05981321230322548,0.039090918024237475,0.6918714555765595,0.6918714555765595,0.5,0.6918714555765595,1.0,-0.24629507322321353,-0.07106205868299265,-4.0740402226381605,-0.011211006967887509,0.07107205336571809,0.12047933772198516,179.94468587217094,0.003780718336483932,0.6918714555765595
30,direction_majority,529,0.04527976700072707,0.05815697798496951,0.03550025050876782,0.6918714555765595,0.6918714555765595,0.5,0.6918714555765595,1.0,-0.22625055922896126,-0.012567638535925463,-8.831034955176252,0.0010309671339740584,0.11291907377841282,0.16851301675135677,175.07412158877275,0.011342155009451797,0.6918714555765595
30,ridge,529,0.05154341688100852,0.06326637997641515,0.0462761405238805,0.6370510396975425,0.6370510396975425,0.4944098025411512,0.6370510396975425,1.0,-0.0018413134325197238,-0.1983021864420591,-0.004152561290308056,0.00041362615440968935,-0.00979278419644336,0.015993962175584797,196.6332602398477,0.007561436672967864,0.6918714555765595
30,elasticnet,529,0.054299167604342356,0.06627309380105105,0.048615703170515535,0.6143667296786389,0.6143667296786389,0.4814190888061953,0.6143667296786389,1.0,0.02405988487665389,-0.31490649659065584,0.04109164114570828,0.0009146421532984798,-0.0637810015839475,-0.07975763247288081,204.97604315910237,0.005671077504725898,0.6918714555765595
30,random_forest,529,0.053448970401853084,0.0689293987267197,0.0438783467920282,0.5841209829867675,0.5841209829867675,0.46806798752891476,0.5841209829867675,1.0,-0.178420920745924,-0.4224249495098471,-0.3652235403342465,-0.005615866740356886,-0.0471246941024388,-0.1680482223149613,204.67980533046082,0.00945179584120983,0.6918714555765595
30,gradient_boosting,529,0.052477076828223126,0.06605909193038625,0.04486875479346936,0.5784499054820416,0.5784499054820416,0.4639696268731771,0.5784499054820416,1.0,-0.13723898865156606,-0.30642830090216644,-0.3336865627395847,-0.009025732860545428,-0.028084219546316902,-0.07279561918297706,197.62724650095967,0.007561436672967864,0.6918714555765595
30,mlp_raw,529,0.052155467432918205,0.06242576866986695,0.04675343844471268,0.6124763705103969,0.6124763705103969,0.5617184618994938,0.6124763705103969,1.0,0.28371497911737725,-0.16667039719067356,0.3663698931763993,-0.004622798769982413,-0.02178353429181734,0.04196893907433363,190.44949737465623,0.007561436672967864,0.6918714555765595
30,mlp_nested,529,0.04864280848541499,0.06009495282397576,0.04151487587634138,0.7784090909090909,0.2589792060491493,0.5643939393939394,0.7784090909090909,0.332703213610586,0.24821586382189204,-0.08117595393229138,1.5084308904137675,-0.02129706151561618,0.04703335587905433,0.1121741421679463,181.42844414627086,0.005671077504725898,0.6918714555765595
30,direction_logistic,529,0.04619630483791987,0.05824200106218874,0.036461708659592716,0.6956521739130435,0.6956521739130435,0.5095376982131483,0.6956521739130435,1.0,0.0679598100729406,-0.01553046606524755,0.6607189826125329,-0.007952038161162083,0.09496307958080419,0.16608004098708695,176.87528641975916,0.001890359168241966,0.6918714555765595
30,heterogeneous_calibrated,529,0.049096729413552566,0.05991404350364704,0.042019091310627046,0.6086956521739131,0.6086956521739131,0.47221663481846526,0.6086956521739131,1.0,0.07448706496562589,-0.07467622677198626,0.22716267034899676,-0.0073117987302855365,0.03814054074250173,0.11751150267877164,184.98257981120923,0.001890359168241966,0.6918714555765595
